3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
------------  ------------  ------------
1.000000e+00  1.000000e+00  7.935464e-01
1.000000e+00  2.000000e+00  2.012536e-01
1.000000e+00  3.000000e+00  4.991521e-02
1.000000e+00  4.000000e+00  1.822011e-02
1.000000e+00  5.000000e+00  3.482135e-03
1.000000e+00  6.000000e+00  7.498262e-04
1.000000e+00  7.000000e+00  2.522150e-04
1.000000e+00  8.000000e+00  6.538349e-05
1.000000e+00  9.000000e+00  1.492629e-05
1.000000e+00  1.000000e+01  3.938565e-06
1.000000e+00  1.100000e+01  7.383561e-07
1.000000e+00  1.200000e+01  1.933169e-07
1.000000e+00  1.300000e+01  6.691101e-08
1.000000e+00  1.400000e+01  1.686190e-08
1.000000e+00  1.500000e+01  3.913557e-09
1.000000e+00  1.600000e+01  8.998771e-10
1.000000e+00  1.700000e+01  1.840152e-10
1.000000e+00  1.800000e+01  4.933895e-11
1.000000e+00  1.900000e+01  1.608110e-11
1.000000e+00  2.000000e+01  3.556180e-12
1.000000e+00  2.100000e+01  1.092949e-12
1.000000e+00  2.200000e+01  3.996071e-13
1.000000e+00  2.300000e+01  1.538156e-13
1.000000e+00  2.400000e+01  1.957461e-13
1.000000e+00  2.500000e+01  1.532128e-13
1.000000e+00  2.600000e+01  2.432863e-13
1.000000e+00  2.700000e+01  2.066546e-13
1.000000e+00  2.800000e+01  1.870194e-13
1.000000e+00  2.900000e+01  1.858472e-13
1.000000e+00  3.000000e+01  1.799907e-13
1.000000e+00  3.100000e+01  1.726545e-13
1.000000e+00  3.200000e+01  1.663433e-13
1.000000e+00  3.300000e+01  1.626089e-13
1.000000e+00  3.400000e+01  1.911245e-13
1.000000e+00  3.500000e+01  1.670094e-13
1.000000e+00  3.600000e+01  1.636718e-13
1.000000e+00  3.700000e+01  1.605568e-13
1.000000e+00  3.800000e+01  1.633830e-13
1.000000e+00  3.900000e+01  1.852689e-13
1.000000e+00  4.000000e+01  1.712596e-13
1.000000e+00  4.100000e+01  1.773717e-13
1.000000e+00  4.200000e+01  1.583357e-13
1.000000e+00  4.300000e+01  1.799151e-13
1.000000e+00  4.400000e+01  1.682355e-13
1.000000e+00  4.500000e+01  2.156485e-13
1.000000e+00  4.600000e+01  2.156985e-13
1.000000e+00  4.700000e+01  1.637011e-13
1.000000e+00  4.800000e+01  1.767860e-13
1.000000e+00  4.900000e+01  1.664652e-13
1.000000e+00  5.000000e+01  1.760959e-13
1.000000e+00  5.100000e+01  1.661057e-13
1.000000e+00  5.200000e+01  1.577064e-13
1.000000e+00  5.300000e+01  1.658451e-13
1.000000e+00  5.400000e+01  1.760852e-13
1.000000e+00  5.500000e+01  1.700506e-13
1.000000e+00  5.600000e+01  1.574364e-13
1.000000e+00  5.700000e+01  1.685883e-13
1.000000e+00  5.800000e+01  1.677472e-13
1.000000e+00  5.900000e+01  1.741348e-13
1.000000e+00  6.000000e+01  1.714039e-13
2.000000e+00  1.000000e+00  1.279515e+00
2.000000e+00  2.000000e+00  2.988521e-01
2.000000e+00  3.000000e+00  1.453856e-01
2.000000e+00  4.000000e+00  3.470517e-02
2.000000e+00  5.000000e+00  1.286364e-02
2.000000e+00  6.000000e+00  4.684096e-03
2.000000e+00  7.000000e+00  1.005713e-03
2.000000e+00  8.000000e+00  3.993180e-04
2.000000e+00  9.000000e+00  1.263536e-04
2.000000e+00  1.000000e+01  4.562130e-05
2.000000e+00  1.100000e+01  9.898553e-06
2.000000e+00  1.200000e+01  3.316923e-06
2.000000e+00  1.300000e+01  1.368550e-06
2.000000e+00  1.400000e+01  4.059372e-07
2.000000e+00  1.500000e+01  1.260192e-07
2.000000e+00  1.600000e+01  3.169131e-08
2.000000e+00  1.700000e+01  1.153607e-08
2.000000e+00  1.800000e+01  3.879701e-09
2.000000e+00  1.900000e+01  1.626325e-09
2.000000e+00  2.000000e+01  8.184692e-10
2.000000e+00  2.100000e+01  6.841068e-10
2.000000e+00  2.200000e+01  4.300672e-10
2.000000e+00  2.300000e+01  4.062584e-10
2.000000e+00  2.400000e+01  3.392015e-10
2.000000e+00  2.500000e+01  3.064993e-10
2.000000e+00  2.600000e+01  2.400758e-10
2.000000e+00  2.700000e+01  1.009396e-10
2.000000e+00  2.800000e+01  2.748858e-10
2.000000e+00  2.900000e+01  7.873234e-10
2.000000e+00  3.000000e+01  6.908073e-10
2.000000e+00  3.100000e+01  7.192525e-10
2.000000e+00  3.200000e+01  7.439465e-10
2.000000e+00  3.300000e+01  6.199881e-10
2.000000e+00  3.400000e+01  5.199303e-10
2.000000e+00  3.500000e+01  8.129223e-10
2.000000e+00  3.600000e+01  8.872317e-10
2.000000e+00  3.700000e+01  7.528926e-11
2.000000e+00  3.800000e+01  9.913140e-11
2.000000e+00  3.900000e+01  1.173155e-10
2.000000e+00  4.000000e+01  2.551169e-10
2.000000e+00  4.100000e+01  3.335986e-10
2.000000e+00  4.200000e+01  3.697568e-10
2.000000e+00  4.300000e+01  4.814257e-10
2.000000e+00  4.400000e+01  3.596918e-10
2.000000e+00  4.500000e+01  3.762099e-10
2.000000e+00  4.600000e+01  3.130515e-10
2.000000e+00  4.700000e+01  3.031714e-10
2.000000e+00  4.800000e+01  3.215643e-10
